#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         614     0.90616    0.901908 7.23565e-05
         615    0.906184    0.901915 7.25721e-05
         616    0.906208    0.901922 7.27881e-05
         617    0.906232    0.901929 7.30045e-05
         618    0.906256    0.901936 7.32214e-05
         619     0.90628    0.901943 7.34387e-05
         620    0.906305     0.90195 7.36564e-05
         621    0.906329    0.901957 7.38745e-05
         622    0.906353    0.901964 7.40931e-05
         623    0.906378    0.901971  7.4312e-05
         624    0.906402    0.901978 7.45315e-05
         625    0.906427    0.901985 7.47513e-05
         626    0.906452    0.901993 7.49716e-05
         627    0.906476       0.902 7.51923e-05
         628    0.906501    0.902007 7.54134e-05
         629    0.906526    0.902014  7.5635e-05
         630    0.906551    0.902021  7.5857e-05
         631    0.906576    0.902029 7.60794e-05
         632    0.906601    0.902036 7.63023e-05
         633    0.906626    0.902043 7.65256e-05
         634    0.906651     0.90205 7.67493e-05
         635    0.906677    0.902058 7.69735e-05
         636    0.906702    0.902065 7.71981e-05
         637    0.906728    0.902072 7.74232e-05
         638    0.906753     0.90208 7.76487e-05
         639    0.906779    0.902087 7.78746e-05
         640    0.906804    0.902094  7.8101e-05
         641     0.90683    0.902102 7.83278e-05
         642    0.906856    0.902109 7.85551e-05
         643    0.906882    0.902116 7.87828e-05
         644    0.906908    0.902124  7.9011e-05
         645    0.906934    0.902131 7.92396e-05
         646     0.90696    0.902139 7.94687e-05
         647    0.906986    0.902146 7.96982e-05
         648    0.907012    0.902154 7.99282e-05
         649    0.907039    0.902161 8.01586e-05
         650    0.907065    0.902169 8.03895e-05
         651    0.907091    0.902176 8.06208e-05
         652    0.907118    0.902184 8.08526e-05
         653    0.907144    0.902192 8.10849e-05
         654    0.907171    0.902199 8.13176e-05
         655    0.907198    0.902207 8.15507e-05
         656    0.907225    0.902215 8.17844e-05
         657    0.907252    0.902222 8.20184e-05
